id,NOME
Y02300001,Acceleration Control System
Y02300002,Brake system 1
Y02300003,Brake system 2
Y02300004,Brake system 3
Y02300005,Brake system 4
Y02300006,Brake system 5
Y02300007,Rear suspension system
Y02300008,Wheel system
Y02300009,Wheel System - Optional configuration
Y02300010,Steering system 1
Y02300011,Steering system 2
Y02300012,Steering system 3
Y02300013,Front Suspension System 1
Y02300014,Front Suspension System 2
Y02300015,Front Suspension System 3
Y02300016,Rear drive axle system 1
Y02300017,Rear drive axle system 2
Y02300018,Power Battery System
Y02300019,Drive motor system
Y02300020,Vehicle control unit
Y02300021,Motor control unit assy
Y02300022,High voltage harness system
Y02300023,Charging system
Y02300024,Power battery box electrical Unit 1
Y02300025,Power battery box electrical Unit 2
Y02300026,Power battery box electrical Unit 3
Y02300027,High voltage box unit 1
Y02300028,High voltage box unit 2
Y02300029,Body control system
Y02300030,Vehicle electrical Units
Y02300031,Key system
Y02300032,Low voltage harness system
Y02300033,Wiper and Washer System
Y02300034,Central screen system
Y02300035,Air conditioning system 1
Y02300036,Air conditioning system 2
Y02300037,Information Communication Device
Y02300038,12V Battery device
Y02300039,Body in white system 1
Y02300040,Body in white system 2
Y02300041,Body in white system 3
Y02300042,Body in white system 4
Y02300043,Body in white system 5
Y02300044,Body in white system 6
Y02300045,Body in white system 7
Y02300046,Body in white system 8
Y02300047,Body in white system 9
Y02300048,Body in white system 10
Y02300049,Body in white system 11
Y02300050,Instrument panel beam system
Y02300051,Power Battery Box device 1
Y02300052,Power Battery Box device 2
Y02300053,Boutique interior system
Y02300054,Instrument panel System 1
Y02300055,Instrument panel System 2
Y02300056,Instrument panel System 3
Y02300057,Combination Switch Shield System
Y02300058,Column Guard Panel System 1
Y02300059,Column Guard Panel System 2
Y02300060,Interiors and Ceiling System
Y02300061,Front Door Inner Panel System 1
Y02300062,Front Door Inner Panel System 2
Y02300063,Tailgate interior system
Y02300064,Tailgate interior system
Y02300065,Auxiliary dashboard system
Y02300066,Wheeling System
Y02300067,Rear windshield system
Y02300068,Front windshield system
Y02300069,Boutique exterior system
Y02300070,Exterior System Side Wall 1
Y02300071,Exterior System Side Wall 2
Y02300072,Roof cover system
Y02300073,Front side door panel system 1
Y02300074,Front side door panel system 2
Y02300075,Vehicle identification device
Y02300076,Front windshield lower trim system
Y02300077,Welcome pedal system
Y02300078,Roof ceiling glass system
Y02300079,Hood Trim System
Y02300080,Fender system
Y02300081,Front bumper device
Y02300082,Rear bumper device 1
Y02300083,Rear bumper device 2
Y02300084,Spoiler hood device
Y02300085,Internal lighting device
Y02300086,Seat belt system
Y02300087,Guide rail rubber coating system
Y02300088,Door waterproof membrane system
Y02300089,Glass Regulator System
Y02300090,Battery box lock system
Y02300091,Inner Handle System
Y02300092,Outer Handle System
Y02300093,Sealing system 1
Y02300094,Sealing system 2
Y02300095,Tailgate stay bar system
Y02300096,Front seat device
Y02300097,Premium accessory system
Y02300098,Inner rear-view mirror system
Y02300099,Sun visor system
Y02300100,Outer Rear-view Mirror System
Y02300101,Cover plate assy front charging port
Y02300102,License light device
Y02300103,Side retroreflector device
Y02300104,Rear combination light device
Y02300105,Front side door lock system
Y02300106,Tailgate lock and handle device
Y02300107,Front combination light device
Y02300108,Plug cover system
Y02300109,On-vehicle tool system
