start,end,modello
1051,4293,Y01
4294,4302,Y0205
4303,4965,Y01
4966,4968,Y0205
4969,5192,Y01
5193,6052,Y0205
6053,6053,Y0210
6054,6093,Y0205
6094,6101,Y0210
6102,6144,Y0205
6145,6147,Y0210
6148,6307,Y0205
6308,8342,Y0210
8343,8602,Y212
8603,8708,Y0210
8709,8924,Y212
8925,14999,Y0210
15000,20000,Y0230
