codice,descrizione,quantita,modello
3400135-Y01,Horn hood,1,MY23 MY22 MY22.5 *
3400123-Y01,Mechanical steering column,1,MY23 MY22 MY22.5 *
3400124-Y01,Universal joint steering column ,1,MY23 MY22 MY22.5 *
3400125-Y01,Prevailing torque type all-metal hexagon nuts with flange,1,MY23 MY22 MY22.5 *
3400126-Y01,Hexagon head bolt,3,MY23 MY22 MY22.5 *
3400132-Y01,Steering lower axle,1,MY23 MY22 MY22.5 *
3400108-Y01,Lower shaft shield steering column,1,MY23 MY22 MY22.5 *
3400108Y0210,Lower shaft shield steering column,1,MY23 * * MY24
3400104-Y01,Steering wheel assembly,1,MY23 MY22 MY22.5 *
3400106-Y01,Electric power steering column (EPS),1,MY23 * * *
3400106Y0210,Electric power steering column (EPS),1,MY23 * * MY24
3400141-Y01,Prevailing torque type all-metal hexagon nuts with flange,1,MY23 * * *
3400142-Y01,Universal joint steering column,1,MY23 * * *
3400143-Y01,Hexagon head bolt,2,MY23 * * *
3400144-Y01,Controller bracket,1,MY23 * * *
3400145-Y01,Controller,1,MY23 * * *
Q146B0612,Hexagon head bolt spring washer and plain washer assy,2,MY23 * * *
3400146-Y01,Motor,1,MY23 * * *
3400147-Y01,Hexagon bolt with flange,2,MY23 * * *
3400148-Y01,Electric steering column body,1,MY23 * * *
S18606003,Hexagon bolt with flange,2,MY23 MY22 MY22.5 MY24
3508101-Y01,Parking pedal,1,MY23 MY22 MY22.5 *
S32008001,hexagon nut with flange,3,MY23 MY22 MY22.5 *
3508102Y0210,Front section parking cable,1,MY23 * * *
3508103Y0210,Left parking cable,1,MY23 * * *
3508104Y0210,Right parking cable,1,MY23 * * *
3506048Y0210,Spring retainer ring parking wire-drawing,1,MY23 * * *
S50108001,Locking pin,1,MY23 MY22 MY22.5 MY24
S18406003,Hexagon bolt with flange,3,MY23 MY22 MY22.5 *
3540103Y0211,Electronic vacuum pump,1,MY23 * * MY24
3540104Y0211,Vent hose electronic vacuum pump,1,MY23 * * *
Q402B06,gasket,2,MY23 MY22 MY22.5 *
3540102Y0211,vacuum tank,1,MY23 * * MY24
3540108Y0211,Vacuum tank bracket,1,MY23 * * *
Q1840645,Hexagon bolt with flange,4,MY23 * * *
3540106Y0210,Vacuum sensor,1,MY23 * * MY24
3540105Y0210,vacuum hose,1,MY23 * * *
3540101Y0210,Vacuum booster,1,MY23 * * MY24
S51008001,Axis pin,1,MY23 MY22 * MY24
3504101Y0205,Brake pedal assy,1,MY23 * * *
Q1840820,Hexagon bolt with flange,2,MY23 MY22 MY22.5 *
3506101Y0210,Master cylinder to ABS pipe (1st chamber),1,MY23 * * *
3506102Y0210,Master cylinder to ABS pipe (2nd chamber),1,MY23 * * *
3506109Y0210,Front left brake pipe,1,MY23 * * *
3506111Y0210,Front right brake pipe,1,MY23 * * *
3506115Y0210,Front section rear left brake pipe,1,MY23 * * *
3506114Y0210,Front section rear right brake pipe,1,MY23 * * *
3506122Y0210,Rear section rear left brake pipe,1,MY23 * * *
3506121Y0210,Rear section rear right brake pipe,1,MY23 * * *
3506113Y0210,Double-hole pipe clip,4,MY23 MY22 MY22.5 *
3506116Y0210,Single hole pipe clip,4,MY23 MY22 MY22.5 *
3550300-Y01,Front wheel speed sensor,2,MY23 MY22 MY22.5 *
3550302-Y01,Front wheel speed sensor bracket,2,MY23 MY22 MY22.5 *
S32006003,hexagon nut with flange,2,MY23 MY22 MY22.5 MY24
3550400-Y01,Rear wheel speed sensor,2,MY23 MY22 MY22.5 *
3506104Y0210,Front brake hose,2,MY23 * * *
3506112Y0210,rear brake hose,2,MY23 * * *
3506106Y0210,Punched bolts,4,MY23 * * MY24
3506107Y0210,Sealing washer,8,MY23 * * MY24
3506105Y0210,Spring retainer ring brake hose,4,MY23 * * MY24
3550101-Y01,ABS controller,1,MY23 MY22 MY22.5 *
3550111-Y01,Mounting sleeve ABS controller,1,MY23 MY22 MY22.5 *
3926010-Y01,Warning triangles,1,MY23 MY22 MY22.5 MY24
3926020-Y01,Reflective vest,1,MY23 * * MY24
2101020Y0210,Power battery module,3,MY23 * * MY24
2101024Y0210,Module cover plate 1,1,MY23 * * MY24
2101025Y0210,Module cover plate 2,1,MY23 * * MY24
2101026Y0210,Fixing plate wiring harness,1,MY23 * * MY24
2101037Y0210,Handle battery pack,1,MY23 * * MY24
2101038Y0210,Fixing sheet metal handle,2,MY23 * * MY24
2101039Y0210,Y02 heating film,1,MY23 * * MY24
2101040Y0210,Seal ring,3,MY23 * * MY24
2101041Y0210,Flexible connection positive terminal,1,MY23 * * MY24
2101042Y0210,Flexible connection negative terminal,1,MY23 * * MY24
2101043Y0210,Switching hard copper bar negative terminal,1,MY23 * * MY24
2101011Y0210,BSU,1,MY23 * * MY24
2101049Y0210-Z001,Quick wiring harness assy,1,MY23 * * MY24
2101044Y0210,Bottom hole 3.7 plastic rivets BNJ-0005B,5,MY23 * * MY24
2101045Y0210,Model: VV-P124-00-KS1 breather valve,1,MY23 * * MY24
2101055Y0210,M6*12 Outer hexagon Dacromet bolts with flange (with  nylon adhesive),3,MY23 * * MY24
2101056Y0210,M5*30 Outer hexagon Dacromet bolts single coil lock washer and plain washer assemblies,4,MY23 * * MY24
2101057Y0210,Prevailing torque type hexagon Dacromet nuts with flange (non-metallic insert),2,MY23 * * MY24
2101058Y0210,M4*10 Hexagon socket button head Dacromet bolt single coil lock washer and plain washer assemblies,4,MY23 * * MY24
2101060Y0210,M4*20 Outer hexagon Dacromet bolts single coil lock washer and plain washer assemblies,42,MY23 * * MY24
2101061Y0210,M3*10 Hexagon socket button head Dacromet bolt single coil lock washer and plain washer assemblies,4,MY23 * * MY24
2101064Y0210,M4*10 Countersunk socket head flat head screw black dacromet,4,MY23 * * MY24
2101046Y0210,BNJ-0181 Rivet tie 5.5 hole,2,MY23 * * MY24
2103010Y0210,Drive motor,1,MY23 * * *
S18408004,Hexagon bolt with flange,3,MY23 MY22 MY22.5 MY24
4002616Y0210,M6 Bonding Bolt (FT thread),1,MY23 * * MY24
2103020Y0210,Phase line pressing plate,1,MY23 * * *
S14606004,Hexagon head bolt spring washer and plain washer assy,2,MY23 * * MY24
S32006002,Hexagon nut with flange,2,MY23 * * *
2103030Y0210,Grounding wire,1,MY23 * * *
2108010Y0210,Vehicle control unit VBU,1,MY23 * * *
2142010Y0210,Motor controller,1,MY23 * * MY24
2142040Y0210,MCU grounding wire,1,MY23 * * *
7925040-Y01,T-BOX?4G?,1,MY23 MY22 MY22.5 *
7925040Y0210,T-BOX?4G?,1,MY23 * * MY24
2101100Y0210-Z002,Power Battery Box device,1,MY23 * * *
2101019Y0210,Battery positive wire harness,1,MY23 * * *
210101AY0210,Battery negative wiring harness,1,MY23 * * *
210101CY0210,Battery box communication wiring harness,1,MY23 * * MY24
210101H-Y01,Module connecting line,2,MY23 MY22 MY22.5 MY24
210101B-Y01,Battery box fast-plug,3,MY23 MY22 MY22.5 MY24
2101013Y0210,Anti-friction bushing,6,MY23 * * MY24
2109010Y0210,High-voltage box assy,1,MY23 * * *
2109011Y0210,High-voltage box casing assy,1,MY23 * * *
2109015Y0210,150A relay,1,MY23 * * *
2109016Y0210,60A relay,1,MY23 * * *
2109017-Y01,20A relay,3,MY23 MY22 MY22.5 MY24
2109211Y0210,40A relay,1,MY23 * * *
2109018-Y01,300A slow-blow fuse,1,MY23 MY22 MY22.5 *
2109111-Y01,20A slow-blow fuse,1,MY23 MY22 MY22.5 *
2109112-Y01,75?100Wprecharge resistence,1,MY23 MY22 MY22.5 *
2109113Y0210,Communications wiring harness high-voltage box,1,MY23 * * *
2109119-Y01,50A slow-blow fuse,2,MY23 MY22 MY22.5 *
S14606005,Hexagon bolt spring washer and plain washer assy M6 16,4,MY23 MY22 MY22.5 *
2101054Y0210,High-voltage warning sign,1,MY23 * * MY24
2109119Y0205,Splitter,1,MY23 * MY22.5 *
2101012Y0210,High voltage acquisition box,1,MY23 * * MY24
2105010Y0210,Positive wiring harness motor controller,1,MY23 * * MY24
2105020Y0210,Negative wiring harness motor controller,1,MY23 * * MY24
2105030Y0210,High voltage wiring harness auxiliary system,1,MY23 * * *
2105060-Y01,Dual-head hoop line card(19mm),4,MY23 MY22 MY22.5 MY24
2105050Y0210,Change-over wiring harness power-off switch,1,MY23 * * *
2107060Y0200,OBC and DCDC two-in-one assy,1,MY23 * MY22.5 *
S18408006,Hexagon bolt with flange,1,MY23 * MY22.5 MY24
S18608002,Hexagon bolt with flange,2,MY23 MY22 MY22.5 *
2107070Y0200,Connecting bracket OBC and DCDC two-in-one assy,1,MY23 * MY22.5 *
2107020Y0210,Charging socket (EN),1,MY23 * * *
2107030-Y01,EV Charger (EN),1,MY23 MY22 MY22.5 MY24
2107040-Y01,Double-head charger (EN),1,MY23 MY22 MY22.5 MY24
2107050-Y01,Charging gun bag,1,MY23 MY22 MY22.5 MY24
3601010Y0210,Body control module?BCM?,1,MY23 * * *
Q1860620,Hexagon bolt with flange,3,MY23 MY22 MY22.5 *
3704010Y0210,Passive start switch,1,MY23 * * MY24
3791020Y0210,PE switch (with antenna),1,MY23 * * MY24
3601030Y0210,start antenna,1,MY23 * * MY24
S27348002,Cross recessed large round head tapping screw 4.8 16,2,MY23 MY22 MY22.5 MY24
ZH1210,Plastic nut seat,2,MY23 MY22 MY22.5 MY24
3791011Y0210,Remote controln chip,2,MY23 * * *
3703010-Y01,12V Battery,1,MY23 MY22 MY22.5 *
3721010Y0210,High pitch horn,1,MY23 * * *
3721020Y0210,low speed alarm (AVAS),1,MY23 * * *
S14606003,Hexagon bolt spring washer and plain washer assy,1,MY23 * * MY24
3736010-Y01,Power off switch,1,MY23 MY22 MY22.5 *
3736011-Y01,Power-off switch shield,1,MY23 MY22 * *
3746010-Y01,Windows regulator control switch,2,MY23 MY22 MY22.5 *
3766010-Y01,Warning switch,1,MY23 MY22 MY22.5 *
3774010Y0210,Combination switch assembly,1,MY23 * * *
S23004001,Cross recessed pan head screw,2,MY23 MY22 MY22.5 MY24
3778010Y0200,Steering wheel lock,1,MY23 * MY22.5 MY24
3781010Y0210,Shift switch,1,MY23 * MY22.5 *
3782010-Y01,Adjusting switch electric rear-view mirror,1,MY23 MY22 MY22.5 MY24
3790020-Y01,Tailgate open switch,1,MY23 MY22 MY22.5 MY24
3790040Y0210,Movable door assy rear bumper,1,MY23 * * MY24
3504102Y0210,Brake switch,1,MY23 * * MY24
3504102-Y01,Brake switch,1,MY23 MY22 MY22.5 *
3736020Y0200,Power off switch shield,1,MY23 * * *
3790010Y0210,Lock cylinder left door,1,MY23 * * *
3790030-Y01,Circlip lock cylinder left door,1,MY23 MY22 MY22.5 MY24
3791010Y0210,Remote key casing,2,MY23 * * *
3791012Y0210,Key gear piece,1,MY23 * * *
3791001Y0210,Remote key assy,2,MY23 * * MY24
3790010Y0210-Z001,Lock cylinder left door,1,MY23 * * MY24
4002010Y0210,Front compartment wiring harness,1,MY23 * * *
4002020Y0210,Roof wiring harness assembly hall version,1,MY23 * * *
4002030Y0210,Left door wiring harness assy (Hall version),1,MY23 * * *
4002040Y0210,Right door wiring harness assy (Hall version),1,MY23 * * *
4003010Y0210,Main wiring harness assy,1,MY23 * * *
4003020Y0210,Auxiliary dashboard wiring harness assy,1,MY23 * * *
4013010Y0200,Tailgate wiring harness assy (Hall version),1,MY23 MY22 MY22.5 *
4013020Y0210,Rear bumper harness assembly,1,MY23 * * *
4014010Y0210,Battery box lock wiring harness,1,MY23 * * MY24
4002011Y0210,Negative wiring harness,1,MY23 * * *
4002816Y0210,M8 Bonding Bolt (FT thread),1,MY23 * * *
3820010Y0200,Central screen (7inch),1,MY23 * * *
S18406001,Hexagon bolt with flange,2,MY23 * * MY24
7911010Y0205,Speaker,2,MY23 * * *
7925020-Y01,USB assy auxiliary dashboard,1,MY23 MY22 MY22.5 *
7925030Y0200,USB assy dashboard,1,MY23 * * *
3820011Y0200,Phone holder,1,MY23 * * *
5205010Y0200,Wiper motor,1,MY23 * MY22.5 MY24
5205020Y0200,Wiper arm (including nozzle leather hose),1,MY23 MY22 MY22.5 MY24
5205030Y0200,Wiper blade,1,MY23 MY22 MY22.5 MY24
5205040Y0200,Front wiper nut cap,1,MY23 MY22 MY22.5 MY24
5207010-Y01,Washing Kettle Assembly (with Water Pipe),1,MY23 MY22 MY22.5 *
5207020Y0200,Two-way hose assy,1,MY23 MY22 MY22.5 MY24
8103010Y0205,Electric compressor assembly,1,MY23 * MY22.5 *
S14608001,Hex bolt spring washer and plain washer assy M8 108,2,MY23 * MY22.5 *
8103011Y0210,Electric compressor bracket assy,1,MY23 * * *
8105010Y0210,Condenser assembly,1,MY23 * * MY24
8105011Y0210,Electronic fan assembly,1,MY23 * * MY24
8107010Y0210,HVAC assembly,1,MY23 * * MY24
8108010Y0210,Compressor suction pipe (EU filler),1,MY23 * * *
S14606002,Hexagon bolt spring washer and plain washer assy M6 20,1,MY23 MY22 MY22.5 MY24
8108020Y0210,Compressor exhaust pipe,1,MY23 * * *
8108030Y0210,Fluid inlet pipe evaporation tank,1,MY23 * * *
8112010Y0210,Air conditioning control panel assembly,1,MY23 * * *
S27342003,Cross recessed large half round head tapping screw 4.2   13,18,MY23 MY22 MY22.5 MY24
5306104Y0210,Air duct central air outlet,1,MY23 * * MY24
5306030Y0210,Front defrost assembly,1,MY23 * * MY24
5306136Y0210,Left defrosting duct,1,MY23 * * MY24
5306141Y0210,Right defrosting duct,1,MY23 * * MY24
2803013-Y01,Mounting bracket front bumper-left,1,MY23 MY22 MY22.5 *
ZH2204-16,A-type reed nut,6,MY23 MY22 MY22.5 MY24
2803014-Y01,Mounting bracket front bumper- right,1,MY23 MY22 MY22.5 *
2803002Y0210D-KIT,Front bumper service kit,1,MY23 * * MY24
2803002Y0210D,Front bumper body,1,MY23 * * *
Z056,Cushion,3,MY23 MY22 MY22.5 MY24
8402509Y0210,Steel clip,2,MY23 * * *
S44003001,Mushroom head break mandrel blind rivet,2,MY23 * * *
S40203001,Big washer,2,MY23 * * *
2803009-Y01D,Front bumper lower trim panel,1,MY23 MY22 MY22.5 MY24
2803007-Y01D,Front bumper trim panel,1,MY23 MY22 MY22.5 MY24
2803003-Y01D,Front bumper central trim panel,1,MY23 MY22 MY22.5 MY24
2803005-Y01D,Front bumper trim strip,1,MY23 MY22 MY22.5 MY24
2803019-Y01,Air deflector trim panel front bumper,1,MY23 MY22 MY22.5 *
6102051-Y01,Dustproof sponge,2,MY23 MY22 MY22.5 MY24
2803017-Y01,Mounting plate front license plate,1,MY23 MY22 MY22.5 *
ZH2204-6,Leaf spring nut B type,4,MY23 MY22 MY22.5 MY24
S27348003,Cross recessed large half-round head tapping screw,4,MY23 * * MY24
